id,geometry,power,location,name,ref,substation,voltage,operator,source,barrier,operator:wikidata,frequency,operator:wikipedia,area
146579820,"POLYGON ((146.60756 -38.2613731, 146.6098593 -38.2627175, 146.6089234 -38.2637179, 146.6066215 -38.262359, 146.60756 -38.2613731))",substation,outdoor,Loy Yang HVDC Converter station,BLLC,converter,500000;400000,,,,,,,
146579822,"POLYGON ((147.0683044 -38.405994, 147.0686244 -38.4060337, 147.0685437 -38.406392, 147.0682212 -38.4063524, 147.0683044 -38.405994))",substation,outdoor,Basslink Victorian Cable Terminal,,transmission,400000,,,,,0,,
146581911,"POLYGON ((146.5719908 -38.2547853, 146.5727634 -38.2551573, 146.5729025 -38.2551615, 146.5729907 -38.2552011, 146.5730089 -38.2552756, 146.5779158 -38.2576382, 146.5767437 -38.2591345, 146.5766497 -38.2591826, 146.5757715 -38.2588336, 146.575839 -38.2587475, 146.571213 -38.256514, 146.5709748 -38.2561143, 146.5719908 -38.2547853))",substation,outdoor,Loy Yang Power Station,LYPS,transmission,500000,,,,,,,
146581923,"POLYGON ((146.423916 -38.2762235, 146.4245032 -38.2762978, 146.4245176 -38.2762165, 146.4247192 -38.2762415, 146.4248142 -38.2758024, 146.4250149 -38.2759274, 146.4255741 -38.2759947, 146.4252118 -38.2776971, 146.4236536 -38.2775133, 146.423916 -38.2762235))",substation,outdoor,Jeeralang Terminal Station,JLTS,transmission,220000,AusNet,,,,,,
146581924,"POLYGON ((146.5712323 -38.2544272, 146.5719908 -38.2547853, 146.5709748 -38.2561143, 146.570535 -38.2553392, 146.5712323 -38.2544272))",substation,outdoor,Loy Yang Substation,LY,industrial,66000,,,,,,,
168810465,"POLYGON ((146.4204306 -38.2562936, 146.4185758 -38.2594973, 146.4200967 -38.2600523, 146.4221055 -38.2565669, 146.4217841 -38.2564068, 146.4217521 -38.2564628, 146.4216676 -38.2565092, 146.4215678 -38.2567028, 146.4204306 -38.2562936))",substation,outdoor,Morwell Terminal Station,MWTS,transmission,220000;66000;22000,AusNet,,,,,,
181969400,"POLYGON ((146.3687383 -37.9964307, 146.3686166 -37.9965567, 146.3683714 -37.9964095, 146.3684932 -37.9962836, 146.3687383 -37.9964307))",substation,,,,,,,,,,,,
207250607,"POLYGON ((147.5637817 -37.8442721, 147.5649129 -37.8444304, 147.564719 -37.8453134, 147.5647029 -37.8453867, 147.5635637 -37.8452369, 147.5637817 -37.8442721))",substation,outdoor,Bairnsdale Switching Station,BDSS,transmission,66000,AusNet,,fence,,,,
217615810,"POLYGON ((149.127004 -37.573614, 149.1273836 -37.5736274, 149.1273799 -37.5736825, 149.1273761 -37.5737826, 149.1273721 -37.5738323, 149.1269925 -37.5738189, 149.127004 -37.573614))",substation,outdoor,Cann River Zone Substation,CNR,distribution,66000;22000,AusNet,,,,,,
229887636,"POLYGON ((146.3528116 -38.171984, 146.3530406 -38.1722789, 146.3524722 -38.1749488, 146.3515717 -38.1750326, 146.3509801 -38.1749538, 146.3503179 -38.1748664, 146.3502209 -38.1753512, 146.3500792 -38.1754233, 146.3500636 -38.1754922, 146.3498532 -38.175602, 146.3495751 -38.1756995, 146.3493436 -38.1756825, 146.3493376 -38.1757196, 146.3491308 -38.1757165, 146.3488286 -38.1756952, 146.3485163 -38.1755886, 146.3483504 -38.1754639, 146.3483028 -38.1752798, 146.3477534 -38.175083, 146.3475023 -38.1742044, 146.3472502 -38.1738902, 146.34823 -38.1733045, 146.3493263 -38.1729158, 146.3494072 -38.1729533, 146.3495756 -38.1728416, 146.3499704 -38.1726717, 146.3499978 -38.1725727, 146.3501814 -38.1725148, 146.3503768 -38.1724947, 146.3506788 -38.1725342, 146.3507376 -38.1722785, 146.3510808 -38.1720219, 146.3515872 -38.171901, 146.3521353 -38.1719794, 146.3523869 -38.1718569, 146.3528116 -38.171984))",substation,outdoor,Yallourn Power Station Substation,YPS,transmission,220000;66000,,Bing,,,,,
348778201,"POLYGON ((146.3944443 -38.2718698, 146.3952944 -38.2726389, 146.3951873 -38.2727201, 146.3953823 -38.2728849, 146.3953712 -38.2730573, 146.39162 -38.2756491, 146.3905091 -38.2745922, 146.3915594 -38.2738655, 146.39159 -38.2738961, 146.3917425 -38.2737904, 146.3917145 -38.2737597, 146.3918255 -38.2736832, 146.3918641 -38.2737234, 146.3919253 -38.2736822, 146.3918836 -38.2736441, 146.3944443 -38.2718698))",substation,outdoor,Hazelwood Switchyard,HWPS,transmission,220000,,,,,,,
351053384,"POLYGON ((145.2396812 -38.4818555, 145.2397325 -38.4818994, 145.2400812 -38.4816496, 145.2398236 -38.4814292, 145.2394749 -38.4816791, 145.239587 -38.4817749, 145.2395496 -38.4818021, 145.2396207 -38.481863, 145.2396812 -38.4818555))",substation,outdoor,Phillip Island Zone Substation,PHI,distribution,66000;22000,AusNet,Bing,,,,,
351555716,"POLYGON ((145.558505 -38.3373565, 145.5585376 -38.3373173, 145.5585832 -38.33729, 145.5586245 -38.33729, 145.5593111 -38.3373718, 145.5593589 -38.3373837, 145.5593871 -38.3374042, 145.559411 -38.3374298, 145.5594219 -38.3374621, 145.5593328 -38.3380773, 145.5592779 -38.3380674, 145.5592386 -38.338062, 145.559235 -38.3380211, 145.5592068 -38.3379938, 145.5591633 -38.3379853, 145.5584007 -38.3379001, 145.5583877 -38.3378745, 145.5583964 -38.3378132, 145.5584159 -38.3377757, 145.5584594 -38.3375678, 145.558505 -38.3373565))",substation,outdoor,Southern Reactive Compensation Station,SRCS,industrial,220000,,,fence,,,,yes
384521014,"POLYGON ((145.6105117 -38.5936798, 145.6098116 -38.5944177, 145.6092242 -38.5940739, 145.6092801 -38.5935961, 145.6102538 -38.5931977, 145.6105117 -38.5936798))",substation,outdoor,Wonthaggi Zone Substation,WGI,distribution,66000;22000,AusNet,Bing,,,,,
400750266,"POLYGON ((149.57455 -37.4836721, 149.5746671 -37.4837109, 149.5746087 -37.4838222, 149.5744915 -37.4837835, 149.57455 -37.4836721))",substation,,Substation,,,,,,,,,,
480009927,"POLYGON ((146.4315991 -38.278978, 146.4307508 -38.2828673, 146.4310017 -38.2829739, 146.4306226 -38.2848436, 146.4253333 -38.284283, 146.4266449 -38.2777476, 146.4280503 -38.2780245, 146.4292842 -38.2781814, 146.4300647 -38.2782045, 146.4298448 -38.2787519, 146.4315991 -38.278978))",substation,outdoor,Hazelwood Terminal Station,HWTS,transmission,500000;220000,AusNet,,,,,,
509601316,"POLYGON ((145.5251676 -38.5852367, 145.5250697 -38.5852943, 145.5253541 -38.5855627, 145.5254573 -38.5854966, 145.5251676 -38.5852367))",substation,indoor,Wonthaggi Desalination Plant,WDP,industrial,220000;22000,,,,,,,
510395858,"POLYGON ((146.3657288 -38.2698094, 146.3656231 -38.270264, 146.3660297 -38.2703189, 146.3661225 -38.2698617, 146.3657288 -38.2698094))",substation,outdoor,Morwell South Zone Substation,MWS,industrial,66000,,,,,,,
510395859,"POLYGON ((146.3740683 -38.2409095, 146.3744532 -38.2408031, 146.3743083 -38.2404734, 146.3739261 -38.2405798, 146.3740683 -38.2409095))",substation,outdoor,Morwell North Zone Substation,MWN,industrial,66000,,,,,,,
510484130,"POLYGON ((146.4414745 -38.1823922, 146.4413766 -38.1828244, 146.4408214 -38.1827496, 146.4409287 -38.1823163, 146.4414745 -38.1823922))",substation,outdoor,Australian Paper Maryvale Substation,APM,industrial,66000,,,,,,,
510588765,"POLYGON ((146.5597272 -38.1886958, 146.560701 -38.1888134, 146.5605032 -38.1897388, 146.5603877 -38.1898136, 146.5601182 -38.1897693, 146.5600136 -38.189762, 146.5598567 -38.1897578, 146.5594972 -38.1898168, 146.5595841 -38.189406, 146.5596092 -38.1892871, 146.5597272 -38.1886958))",substation,outdoor,Traralgon Zone Substation,TGN,distribution,66000;22000,AusNet Services,,,,,,
511184335,"POLYGON ((146.2556329 -38.1699775, 146.2565287 -38.1700851, 146.2563919 -38.1708716, 146.2560486 -38.1710698, 146.2554666 -38.170996, 146.2554505 -38.1708969, 146.2556329 -38.1699775))",substation,outdoor,Moe Zone Substation,MOE,distribution,66000;22000,AusNet,,,,,,
511211297,"POLYGON ((145.9424769 -38.1537206, 145.9424299 -38.1537575, 145.942383 -38.1540275, 145.9427545 -38.1540718, 145.9426887 -38.1541519, 145.9431394 -38.1542089, 145.943307 -38.1540528, 145.9435806 -38.1538535, 145.9438998 -38.15367, 145.9425238 -38.1535002, 145.9424769 -38.1537206))",substation,outdoor,Warragul Zone Substation,WGL,distribution,66000;22000,AusNet,,,Q7392701,,en:AusNet Services,
529128928,"POLYGON ((145.8316995 -38.5775154, 145.8326731 -38.5775783, 145.8325927 -38.5783332, 145.8316163 -38.5782703, 145.8316995 -38.5775154))",substation,outdoor,Leongatha South Switching Station,LSSS,transmission,66000,AusNet,,,,,,
529128929,"POLYGON ((145.9483965 -38.7470655, 145.9487009 -38.7473824, 145.9498127 -38.7467235, 145.9495123 -38.7464128, 145.9483965 -38.7470655))",substation,outdoor,Bald Hills Wind Farm Substation,BHWF,transmission,66000;33000,,,,,,,
529168106,"POLYGON ((145.9585336 -38.4730361, 145.9579663 -38.4729657, 145.9578175 -38.4728502, 145.9579194 -38.4727841, 145.9579704 -38.4726833, 145.9578228 -38.4726381, 145.9579784 -38.4723179, 145.958138 -38.4723641, 145.9581782 -38.4722791, 145.9588837 -38.4723525, 145.9586597 -38.4727998, 145.9585618 -38.4728786, 145.9586014 -38.4729111, 145.9585336 -38.4730361))",substation,outdoor,Leongatha Zone Substation,LGA,distribution,66000;22000,AusNet,,,,,,
